Row,allPara1,allPara2,allPara3,allPara4,allPara5,allPara6,allPara7,allPara8,allPara9,allPara10,allPara11,allPara12,allPara13,allPara14,allPara15,allPara16,allPara17,allPara18,allPara19,allPara20,allPara21,allPara22,allPara23,allPara24,allPara25,allPara26,allPara27,allPara28,allPara29,allPara30,allPara31,allPara32,allPara33,allPara34,allPara35,allPara36,allPara37,allPara38,allPara39,allPara40,allPara41,allPara42,allPara43,allPara44,allPara45,allPara46,allPara47,allPara48,allPara49,allPara50,allPara51,allPara52,allPara53,allPara54,allPara55,allPara56,allPara57,allPara58,allPara59,allPara60,allPara61,allPara62,allPara63,allPara64,allPara65,allPara66,allPara67,allPara68,allPara69,allPara70,allPara71,allPara72,allPara73,allPara74,allPara75,allPara76,allPara77,allPara78,allPara79,allPara80,allPara81,allPara82,allPara83,allPara84,allPara85,allPara86,allPara87,allPara88,allPara89,allPara90,allPara91,allPara92,allPara93,allPara94,allPara95,allPara96,allPara97,allPara98,allPara99,allPara100,allPara101,allPara102,allPara103,allPara104,allPara105,allPara106,allPara107,allPara108,allPara109,allPara110,allPara111,allPara112,allPara113,allPara114,allPara115,allPara116,allPara117,allPara118,allPara119,allPara120,allPara121,allPara122,allPara123,allPara124,allPara125,allPara126,allPara127,allPara128,allPara129,allPara130,allPara131,allPara132,allPara133,allPara134,allPara135,allPara136,allPara137,allPara138,allPara139,allPara140,allPara141,allPara142,allPara143,allPara144,allPara145,allPara146,allPara147,allPara148,allPara149,allPara150,allPara151,allPara152,allPara153,allPara154,allPara155,allPara156,allPara157,allPara158,allPara159,allPara160,allPara161,allPara162,allPara163,allPara164,allPara165,allPara166,allPara167,allPara168,allPara169,allPara170,allPara171,allPara172,allPara173,allPara174,allPara175,allPara176,allPara177,allPara178,allPara179,allPara180,allPara181,allPara182,allPara183,allPara184,allPara185,allPara186,allPara187,allPara188,allPara189,allPara190,allPara191,allPara192,allPara193,allPara194,allPara195,allPara196,allPara197,allPara198,allPara199,allPara200,allPara201,allPara202,allPara203,allPara204,allPara205,allPara206,allPara207,allPara208,allPara209,allPara210,allPara211,allPara212,allPara213,allPara214,allPara215,allPara216,allPara217,allPara218,allPara219,allPara220,allPara221,allPara222,allPara223,allPara224,allPara225,allPara226,allPara227,allPara228,allPara229,allPara230,allPara231,allPara232,allPara233,allPara234,allPara235,allPara236,allPara237,allPara238,allPara239,allPara240,allPara241,allPara242,allPara243,allPara244,allPara245,allPara246,allPara247,allPara248,allPara249,allPara250,allPara251,allPara252,allPara253,allPara254,allPara255,allPara256,allPara257,allPara258,allPara259,allPara260,allPara261,allPara262,allPara263,allPara264,allPara265,allPara266,allPara267,allPara268,allPara269,allPara270,allPara271,allPara272,allPara273,allPara274,allPara275,allPara276,allPara277,allPara278,allPara279,allPara280,allPara281,allPara282,allPara283,allPara284,allPara285,allPara286,allPara287,allPara288,allPara289,allPara290,allPara291,allPara292,allPara293,allPara294,allPara295,allPara296,allPara297,allPara298,allPara299,allPara300,allPara301,allPara302,allPara303,allPara304,allPara305,allPara306,allPara307,allPara308,allPara309,allPara310,allPara311,allPara312,allPara313,allPara314,allPara315,allPara316,allPara317,allPara318,allPara319,allPara320,allPara321,allPara322,allPara323,allPara324,allPara325,allPara326,allPara327,allPara328,allPara329,allPara330,allPara331,allPara332,allPara333,allPara334,allPara335,allPara336,allPara337,allPara338,allPara339,allPara340,allPara341,allPara342,allPara343,allPara344,allPara345,allPara346,allPara347,allPara348,allPara349,allPara350,allPara351,allPara352,allPara353,allPara354,allPara355,allPara356,allPara357,allPara358,allPara359,allPara360,allPara361
visual_or_estim,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2
RF_x,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
RF_y,-2.76597558,-2.64173534,-2.64173534,-2.475605,-2.64173534,-2.475605,-2.76597558,-2.80897005,-2.72412381,-2.64173534,-2.44573448,-2.63632278,-2.80897005,-2.72412381,-2.80897005,-2.64173534,-2.80897005,-2.72412381,-2.72291186,-2.64173534,-2.64173534,-2.63632278,-2.64173534,-2.72412381,-2.44573448,-2.80897005,-2.63632278,-2.72291186,-2.80897005,-2.76597558,-2.475605,-2.72412381,-2.64173534,-2.72291186,-2.64173534,-2.72412381,-2.475605,-2.44573448,-2.44573448,-2.64173534,-2.80897005,-2.76597558,-2.76597558,-2.72412381,-2.80897005,-2.63632278,-2.63632278,-2.44573448,-2.44573448,-2.44573448,-2.72412381,-2.80897005,-2.64173534,-2.80897005,-2.44573448,-2.44573448,-2.475605,-2.64173534,-2.80897005,-2.72291186,-2.475605,-2.72412381,-2.44573448,-2.72412381,-2.64173534,-2.76597558,-2.44573448,-2.44573448,-2.76597558,-2.64173534,-2.63632278,-2.72291186,-2.64173534,-2.475605,-2.475605,-2.76597558,-2.44573448,-2.76597558,-2.64173534,-2.80897005,-2.72412381,-2.63632278,-2.80897005,-2.76597558,-2.63632278,-2.64173534,-2.76597558,-2.475605,-2.72291186,-2.72291186,-2.72412381,-2.72291186,-2.64173534,-2.475605,-2.72412381,-2.475605,-2.80897005,-2.44573448,-2.63632278,-2.64173534,-2.76597558,-2.72412381,-2.72412381,-2.72291186,-2.64173534,-2.72291186,-2.72291186,-2.76597558,-2.80897005,-2.72412381,-2.72291186,-2.76597558,-2.72412381,-2.76597558,-2.63632278,-2.44573448,-2.475605,-2.72291186,-2.80897005,-2.72412381,-2.44573448,-2.72412381,-2.63632278,-2.63632278,-2.72291186,-2.72291186,-2.72412381,-2.44573448,-2.64173534,-2.76597558,-2.72291186,-2.63632278,-2.475605,-2.76597558,-2.44573448,-2.72412381,-2.44573448,-2.72291186,-2.72291186,-2.44573448,-2.475605,-2.80897005,-2.72412381,-2.64173534,-2.72412381,-2.64173534,-2.64173534,-2.64173534,-2.72412381,-2.76597558,-2.63632278,-2.72291186,-2.44573448,-2.44573448,-2.80897005,-2.63632278,-2.72412381,-2.72291186,-2.475605,-2.44573448,-2.44573448,-2.63632278,-2.72291186,-2.64173534,-2.63632278,-2.76597558,-2.63632278,-2.64173534,-2.72291186,-2.475605,-2.63632278,-2.80897005,-2.76597558,-2.44573448,-2.64173534,-2.72412381,-2.64173534,-2.64173534,-2.72412381,-2.63632278,-2.80897005,-2.44573448,-2.64173534,-2.63632278,-2.76597558,-2.76597558,-2.63632278,-2.44573448,-2.475605,-2.72291186,-2.80897005,-2.63632278,-2.64173534,-2.76597558,-2.80897005,-2.76597558,-2.44573448,-2.80897005,-2.72412381,-2.72412381,-2.475605,-2.63632278,-2.63632278,-2.76597558,-2.475605,-2.64173534,-2.63632278,-2.72412381,-2.475605,-2.64173534,-2.44573448,-2.72291186,-2.72291186,-2.72412381,-2.63632278,-2.63632278,-2.72291186,-2.44573448,-2.80897005,-2.475605,-2.475605,-2.63632278,-2.475605,-2.80897005,-2.72291186,-2.475605,-2.76597558,-2.76597558,-2.76597558,-2.76597558,-2.76597558,-2.80897005,-2.63632278,-2.44573448,-2.44573448,-2.76597558,-2.76597558,-2.475605,-2.64173534,-2.44573448,-2.72291186,-2.80897005,-2.63632278,-2.475605,-2.72412381,-2.72412381,-2.72412381,-2.76597558,-2.44573448,-2.72291186,-2.475605,-2.72291186,-2.475605,-2.63632278,-2.80897005,-2.80897005,-2.475605,-2.72291186,-2.475605,-2.80897005,-2.72412381,-2.72291186,-2.475605,-2.44573448,-2.44573448,-2.80897005,-2.72291186,-2.475605,-2.72412381,-2.475605,-2.44573448,-2.63632278,-2.80897005,-2.72291186,-2.63632278,-2.64173534,-2.64173534,-2.76597558,-2.475605,-2.475605,-2.80897005,-2.76597558,-2.475605,-2.63632278,-2.72291186,-2.44573448,-2.475605,-2.72412381,-2.475605,-2.72291186,-2.76597558,-2.76597558,-2.64173534,-2.80897005,-2.80897005,-2.44573448,-2.80897005,-2.80897005,-2.63632278,-2.64173534,-2.80897005,-2.475605,-2.80897005,-2.64173534,-2.63632278,-2.80897005,-2.44573448,-2.44573448,-2.76597558,-2.63632278,-2.72291186,-2.44573448,-2.475605,-2.72291186,-2.76597558,-2.80897005,-2.72291186,-2.63632278,-2.72412381,-2.72412381,-2.72412381,-2.64173534,-2.76597558,-2.72291186,-2.72291186,-2.63632278,-2.72412381,-2.76597558,-2.80897005,-2.76597558,-2.475605,-2.44573448,-2.76597558,-2.64173534,-2.72412381,-2.80897005,-2.72291186,-2.475605,-2.63632278,-2.63632278,-2.475605,-2.72412381,-2.63632278,-2.72291186,-2.72412381,-2.72291186,-2.475605,-2.63632278,-2.80897005,-2.63632278,-2.76597558,-2.475605,-2.80897005,-2.72412381,-2.44573448,-2.64173534,-2.72291186,-2.44573448,-2.76597558,-2.64173534,-2.475605
RFsize,6.95441902,6.96062331,6.96062331,6.69887185,6.96062331,6.69887185,6.95441902,6.67047258,6.97941246,6.96062331,6.90543165,6.74073151,6.67047258,6.97941246,6.67047258,6.96062331,6.67047258,6.97941246,7.01890182,6.96062331,6.96062331,6.74073151,6.96062331,6.97941246,6.90543165,6.67047258,6.74073151,7.01890182,6.67047258,6.95441902,6.69887185,6.97941246,6.96062331,7.01890182,6.96062331,6.97941246,6.69887185,6.90543165,6.90543165,6.96062331,6.67047258,6.95441902,6.95441902,6.97941246,6.67047258,6.74073151,6.74073151,6.90543165,6.90543165,6.90543165,6.97941246,6.67047258,6.96062331,6.67047258,6.90543165,6.90543165,6.69887185,6.96062331,6.67047258,7.01890182,6.69887185,6.97941246,6.90543165,6.97941246,6.96062331,6.95441902,6.90543165,6.90543165,6.95441902,6.96062331,6.74073151,7.01890182,6.96062331,6.69887185,6.69887185,6.95441902,6.90543165,6.95441902,6.96062331,6.67047258,6.97941246,6.74073151,6.67047258,6.95441902,6.74073151,6.96062331,6.95441902,6.69887185,7.01890182,7.01890182,6.97941246,7.01890182,6.96062331,6.69887185,6.97941246,6.69887185,6.67047258,6.90543165,6.74073151,6.96062331,6.95441902,6.97941246,6.97941246,7.01890182,6.96062331,7.01890182,7.01890182,6.95441902,6.67047258,6.97941246,7.01890182,6.95441902,6.97941246,6.95441902,6.74073151,6.90543165,6.69887185,7.01890182,6.67047258,6.97941246,6.90543165,6.97941246,6.74073151,6.74073151,7.01890182,7.01890182,6.97941246,6.90543165,6.96062331,6.95441902,7.01890182,6.74073151,6.69887185,6.95441902,6.90543165,6.97941246,6.90543165,7.01890182,7.01890182,6.90543165,6.69887185,6.67047258,6.97941246,6.96062331,6.97941246,6.96062331,6.96062331,6.96062331,6.97941246,6.95441902,6.74073151,7.01890182,6.90543165,6.90543165,6.67047258,6.74073151,6.97941246,7.01890182,6.69887185,6.90543165,6.90543165,6.74073151,7.01890182,6.96062331,6.74073151,6.95441902,6.74073151,6.96062331,7.01890182,6.69887185,6.74073151,6.67047258,6.95441902,6.90543165,6.96062331,6.97941246,6.96062331,6.96062331,6.97941246,6.74073151,6.67047258,6.90543165,6.96062331,6.74073151,6.95441902,6.95441902,6.74073151,6.90543165,6.69887185,7.01890182,6.67047258,6.74073151,6.96062331,6.95441902,6.67047258,6.95441902,6.90543165,6.67047258,6.97941246,6.97941246,6.69887185,6.74073151,6.74073151,6.95441902,6.69887185,6.96062331,6.74073151,6.97941246,6.69887185,6.96062331,6.90543165,7.01890182,7.01890182,6.97941246,6.74073151,6.74073151,7.01890182,6.90543165,6.67047258,6.69887185,6.69887185,6.74073151,6.69887185,6.67047258,7.01890182,6.69887185,6.95441902,6.95441902,6.95441902,6.95441902,6.95441902,6.67047258,6.74073151,6.90543165,6.90543165,6.95441902,6.95441902,6.69887185,6.96062331,6.90543165,7.01890182,6.67047258,6.74073151,6.69887185,6.97941246,6.97941246,6.97941246,6.95441902,6.90543165,7.01890182,6.69887185,7.01890182,6.69887185,6.74073151,6.67047258,6.67047258,6.69887185,7.01890182,6.69887185,6.67047258,6.97941246,7.01890182,6.69887185,6.90543165,6.90543165,6.67047258,7.01890182,6.69887185,6.97941246,6.69887185,6.90543165,6.74073151,6.67047258,7.01890182,6.74073151,6.96062331,6.96062331,6.95441902,6.69887185,6.69887185,6.67047258,6.95441902,6.69887185,6.74073151,7.01890182,6.90543165,6.69887185,6.97941246,6.69887185,7.01890182,6.95441902,6.95441902,6.96062331,6.67047258,6.67047258,6.90543165,6.67047258,6.67047258,6.74073151,6.96062331,6.67047258,6.69887185,6.67047258,6.96062331,6.74073151,6.67047258,6.90543165,6.90543165,6.95441902,6.74073151,7.01890182,6.90543165,6.69887185,7.01890182,6.95441902,6.67047258,7.01890182,6.74073151,6.97941246,6.97941246,6.97941246,6.96062331,6.95441902,7.01890182,7.01890182,6.74073151,6.97941246,6.95441902,6.67047258,6.95441902,6.69887185,6.90543165,6.95441902,6.96062331,6.97941246,6.67047258,7.01890182,6.69887185,6.74073151,6.74073151,6.69887185,6.97941246,6.74073151,7.01890182,6.97941246,7.01890182,6.69887185,6.74073151,6.67047258,6.74073151,6.95441902,6.69887185,6.67047258,6.97941246,6.90543165,6.96062331,7.01890182,6.90543165,6.95441902,6.96062331,6.69887185
microPreStimT,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,1,300,300,300,300,1,1,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,1,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,1,300,1,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,1,300,300,300,300,1,300,1,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,1,1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,1,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,1,300,300,300,300,300,300,300,300,300,1,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,1,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,1,1,1,300,300,300,300,300,300,300,300,1,300,300,300,1,300,300,300,1,300,300
microStimT,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,0.5,200,200,200,200,0.5,0.5,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,0.5,0.5,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,0.5,200,200,200,200,200,200,200,200,200,0.5,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,0.5,0.5,200,200,200,200,200,200,200,200,0.5,200,200,200,0.5,200,200,200,0.5,200,200
microPostStimT,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,-12.8933385,200,200,200,200,-12.8933385,-12.8933385,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,-12.8933385,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,200,-12.8933385,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,-12.8933385,-12.8933385,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,-12.8933385,-12.8933385,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,-12.8933385,200,200,200,-12.8933385,200,200
instanceID,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-70.2148486,3,-68.121576,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-72.4340035,-68.121576,3,3,3,3,-68.121576,-72.4340035,3,3,3,3,-70.2461008,3,3,3,3,3,3,3,3,3,3,3,3,-63.067365,3,3,3,3,-67.982004,3,3,3,3,3,-63.8376267,3,3,3,3,3,3,3,3,3,3,-67.982004,3,3,3,3,3,3,-70.2148486,3,-71.325319,3,3,3,3,3,3,3,3,3,3,-72.4340035,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-68.121576,3,3,3,3,3,3,3,3,-70.2461008,3,3,3,3,-67.982004,3,-68.121576,3,3,3,3,3,3,3,3,3,-63.067365,3,3,3,3,3,-67.982004,-72.4340035,-63.067365,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-70.2148486,3,3,3,3,3,3,3,3,3,3,3,-70.2148486,3,-71.325319,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-63.8376267,3,3,3,-63.8376267,3,3,3,3,3,3,3,3,3,-70.2148486,3,3,-63.8376267,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-63.067365,3,3,3,3,-72.4340035,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-70.2461008,3,3,-71.325319,3,3,3,3,3,3,3,3,3,3,3,-70.2461008,3,3,3,3,-67.982004,-63.8376267,-70.2461008,3,3,3,3,3,3,3,3,-71.325319,3,3,3,-63.067365,3,3,3,-71.325319,3,3
channelID_128,97,11,11,118,11,118,97,104,14,11,32,115,104,14,104,11,104,14,7.01890182,11,6.96062331,115,11,14,32,104,115,25,104,97,118,14,11,25,11,14,118,32,32,11,104,97,97,14,104,115,115,32,32,32,14,6.67047258,6.96062331,104,32,32,118,6.96062331,6.67047258,25,118,14,32,6.97941246,11,97,32,32,97,11,115,25,11,118,118,97,6.90543165,97,11,104,14,6.74073151,104,97,115,11,97,6.69887185,25,25,14,25,11,118,14,118,104,32,6.74073151,11,97,14,14,25,11,7.01890182,25,6.95441902,104,14,25,97,14,97,115,32,118,25,6.67047258,14,32,14,115,115,25,25,14,32,11,97,25,115,118,97,32,14,32,25,25,32,118,104,14,11,14,11,11,6.96062331,14,97,115,25,32,32,104,115,6.97941246,25,118,32,32,6.74073151,25,6.96062331,115,97,115,11,25,118,115,104,97,6.90543165,11,14,11,11,14,6.74073151,6.67047258,6.90543165,11,115,97,97,115,32,118,25,104,115,11,97,104,97,32,104,14,14,118,115,115,97,118,11,115,14,118,11,32,25,7.01890182,14,115,115,25,32,104,118,118,115,118,104,7.01890182,118,6.95441902,97,97,97,97,104,115,32,32,97,97,118,11,32,25,104,115,118,14,14,14,97,32,25,118,25,6.69887185,115,104,104,6.69887185,25,118,104,14,25,118,32,32,104,7.01890182,118,14,6.69887185,32,115,104,25,115,11,11,97,118,118,104,97,118,115,25,32,118,14,118,25,97,97,11,104,104,6.90543165,104,104,115,11,6.67047258,118,104,11,115,104,32,32,97,115,25,32,118,25,97,104,25,115,14,6.97941246,14,11,6.95441902,25,25,115,14,97,104,97,118,32,97,11,6.97941246,104,25,118,115,6.74073151,6.69887185,6.97941246,115,25,14,25,118,115,104,115,6.95441902,118,104,14,6.90543165,11,25,32,6.95441902,11,118
stimulatorID,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,300,5,5,5,5,300,300,5,5,5,5,300,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,300,5,5,5,5,5,300,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,5,5,300,5,300,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,5,5,5,5,300,5,5,5,5,300,5,300,5,5,5,5,5,5,5,5,5,300,5,5,5,5,5,300,300,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,5,5,5,5,5,5,5,300,5,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,300,5,5,5,5,5,5,5,5,5,300,5,5,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,300,5,5,300,5,5,5,5,5,5,5,5,5,5,5,300,5,5,5,5,300,300,300,5,5,5,5,5,5,5,5,300,5,5,5,300,5,5,5,300,5,5
